========================================================================================Rover 1.0 201221
Voltage:  15.9
Standby
hdg:   0, bias:  98
{v   0}
msg: 09:35:56.361{LN7.1820}
msg: 09:35:56.369{LA241}
{lt  0.79}
msg: 09:35:57.358{LT21.8473}
msg: 09:35:57.369{LN7.1852}
msg: 09:35:57.376{LA241}
{lt  0.79}
msg: 09:35:58.368{LT21.8408}
msg: 09:35:58.380{LN7.1874}
msg: 09:35:58.387{LA241}
{lt  0.79}
msg: 09:35:59.379{LT21.8347}
msg: 09:35:59.389{LN7.1888}
msg: 09:35:59.397{LA241}
{lt  0.79}
msg: 09:36:00.387{LT21.8124}
msg: 09:36:00.398{LN7.1924}
msg: 09:36:00.405{LA241}
{lt  0.79}
msg: 09:36:01.399{LT21.8063}
msg: 09:36:01.408{LN7.1888}
msg: 09:36:01.417{LA241}
{lt  0.79}
msg: 09:36:02.408{LT21.8070}
msg: 09:36:02.419{LN7.1831}
msg: 09:36:02.426{LA241}
{lt  0.79}
msg: 09:36:03.421{LT21.8106}
msg: 09:36:03.430{LN7.1737}
msg: 09:36:03.437{LA241}
{lt  0.79}
msg: 09:36:04.430{LT21.8160}
msg: 09:36:04.441{LN7.1651}
msg: 09:36:04.448{LA241}
{lt  0.79}
msg: 09:36:05.440{LT21.8210}
msg: 09:36:05.451{LN7.1572}
msg: 09:36:05.458{LA241}
{lt  0.79}
msg: 09:36:06.449{LT21.8243}
msg: 09:36:06.459{LN7.1510}
msg: 09:36:06.467{LA241}
{lt  0.79}
msg: 09:36:07.459{LT21.8282}
msg: 09:36:07.469{LN7.1449}
msg: 09:36:07.476{LA241}
{lt  0.79}
msg: 09:36:08.468{LT21.8329}
msg: 09:36:08.478{LN7.1420}
msg: 09:36:08.485{LA241}
{lt  0.79}
msg: 09:36:09.481{LT21.8408}
msg: 09:36:09.491{LN7.1399}
msg: 09:36:09.498{LA241}
{lt  0.79}
msg: 09:36:10.490{LT21.8513}
msg: 09:36:10.500{LN7.1417}
msg: 09:36:10.507{LA241}
{lt  0.79}
msg: 09:36:11.498{LT21.8664}
msg: 09:36:11.509{LN7.1410}
msg: 09:36:11.516{LA241}
{lt  0.79}
msg: 09:36:12.509{LT21.8786}
msg: 09:36:12.518{LN7.1406}
msg: 09:36:12.527{LA241}
{lt  0.79}
msg: 09:36:13.519{LT21.8873}
msg: 09:36:13.529{LN7.1449}
msg: 09:36:13.536{LA241}
{lt  0.79}
msg: 09:36:14.527{LT21.8927}
msg: 09:36:14.538{LN7.1518}
msg: 09:36:14.545{LA241}
{lt  0.79}
msg: 09:36:15.540{LT21.8977}
msg: 09:36:15.551{LN7.1608}
msg: 09:36:15.558{LA241}
{lt  0.79}
